timestamp,FSS_thr5_ws67,Bias_thr5_ws67,FSS_thr10_ws67,Bias_thr10_ws67,FSS_thr15_ws67,Bias_thr15_ws67
1521,0.403,1.258,0.232,1.509,0.072,1.970
1600,0.257,0.299,0.124,0.224,0.082,0.192
1603,0.260,0.964,0.139,1.153,0.096,1.297
1606,0.242,0.537,0.119,0.420,0.072,0.390
