timestamp,FSS_thr5_ws67,Bias_thr5_ws67,FSS_thr10_ws67,Bias_thr10_ws67,FSS_thr15_ws67,Bias_thr15_ws67
1521,0.112,0.061,0.075,0.032,0.025,0.053
1600,0.234,0.198,0.262,0.117,0.262,0.093
1603,0.121,0.567,0.083,0.538,0.044,0.533
1606,0.166,0.412,0.136,0.335,0.116,0.253
