timestamp,FSS_thr5_ws67,Bias_thr5_ws67,FSS_thr10_ws67,Bias_thr10_ws67,FSS_thr15_ws67,Bias_thr15_ws67
1521,0.000,0.000,0.000,0.000,0.000,0.000
1600,0.198,0.176,0.110,0.121,0.090,0.092
1603,0.245,0.459,0.059,0.318,0.027,0.278
1606,0.371,0.357,0.194,0.195,0.199,0.166
