AZAM "2021-08-15 20:00:00" 41.44454553062208 37.51691271362069 40.12063952243722 41.03309838721935 40.92784274102915 34.571623681484475    43.6
AZBH "2021-08-15 20:00:00" 41.26299252421874 39.00058291959523 36.2765882177092 36.3585117186768 34.87179942408265 34.58138050815503    37.5
AZRV "2021-08-15 20:00:00" 17.140306692959783 12.45353820793403 13.068719975867284 14.479264909489396 16.501683193005064 13.31194192447353    12.9
BIGE "2021-08-15 20:00:00" 31.364975216307656 29.20743533615298 33.24291252828301 35.983123024270874 30.690031180930475 29.90554493177861    20.5
CTI4 "2021-08-15 20:00:00" 22.88558169638141 20.17895727048645 21.957011552350668 22.090863710272828 20.42211174244554 18.765218952422565    21.6
ERAU "2021-08-15 20:00:00" 24.223013288684328 18.59709861694811 24.535248281631105 23.747840235916662 19.30636284923388 15.416067493268914    26.3
GMPK "2021-08-15 20:00:00" 41.37556556161463 45.16025077946704 47.40664461292406 45.60668202649244 41.5917116274947 44.39581793935291    42.5
KEND "2021-08-15 20:00:00" 31.52103527956275 28.02588127289624 30.627674887196115 31.91960817406449 30.74425717770273 25.10248493195006    36.4
KITT "2021-08-15 20:00:00" 32.70790075614563 28.476602658688915 31.6183370870868 29.77542182463329 29.942336627342108 27.368345121955485    29.6
KP52 "2021-08-15 20:00:00" 26.64485492239134 25.42000017346508 28.53029454760674 27.596697073721824 26.55770531967027 21.531805774140064    34.1
LUCK "2021-08-15 20:00:00" 33.12931475027624 29.290628524376583 32.21009435515866 34.54088477663383 32.038200122343575 27.11312603148548    37.6
MING "2021-08-15 20:00:00" 22.00885548190816 18.562448361108064 24.410046062919527 22.34850247713049 20.786831623313905 15.68611430129144    17.9
MORT "2021-08-15 20:00:00" 23.065542709932785 18.132126560702968 23.40234815089709 24.51000691673037 21.305680460669706 17.94167482268931    28.0
MUND "2021-08-15 20:00:00" 19.82314255825128 18.037009754273218 21.355388990137 21.91747266442479 19.0903418010252 13.542320532119938    23.9
P001 "2021-08-15 20:00:00" 50.06726452256149 47.47991185895218 49.87397861725173 60.374567053967965 47.052667445837926 45.92376218997536    52.0
P003 "2021-08-15 20:00:00" 54.15592160215381 55.2100279708016 58.26373611481035 58.67375114672552 54.066938679869686 55.958436480575074    54.7
P004 "2021-08-15 20:00:00" 21.35638530942689 18.9017716004134 24.82899483700133 22.439515439501875 19.23071619504971 14.258427977818858    26.6
P008 "2021-08-15 20:00:00" 21.866215065322336 17.073862833286398 21.99463147148109 18.73236226138961 20.48126974706101 16.299280889198613    23.4
P010 "2021-08-15 20:00:00" 24.22533848203889 21.63365808119261 26.138288552777816 24.78123530332745 21.534985094707466 18.60230693146372    25.5
P011 "2021-08-15 20:00:00" 23.251949478466027 17.875400552466527 21.92673818316048 22.145296006483875 26.24834915019444 17.032536786776618    20.9
P014 "2021-08-15 20:00:00" 40.37265740169461 35.61711840822379 39.412409965552925 37.65985348662189 37.81540056083493 34.4042456857578    42.3
P015 "2021-08-15 20:00:00" 15.327873369238157 12.383685238570502 17.75710990855218 17.41569826331876 13.869593254006638 12.132396911344646    19.1
P026 "2021-08-15 20:00:00" 28.976097201646063 24.5002820738136 25.11938478675509 25.21922835787676 24.89087262984168 27.568638219623978    35.5
P107 "2021-08-15 20:00:00" 17.91359700177099 16.49946389852707 16.215162379648884 15.27840541387295 15.021896005990149 14.381747536251712    20.9
P623 "2021-08-15 20:00:00" 38.6613369810617 39.56226412861238 39.03153052423831 40.550555005952006 36.77352899051434 36.99531420108544    40.4
SA46 "2021-08-15 20:00:00" 48.08508373750587 41.119502783942046 46.354343157640734 47.02471546092932 44.45732656201481 39.89131724628224    44.8
TNPP "2021-08-15 20:00:00" 57.47381717020621 54.643725303736005 56.71167941644667 55.842466328703296 58.78520591266735 53.93649554183856    57.2
