AZAM "2021-08-16 02:00:00" 36.8913094651249 37.12507212914091 37.288023885823804 34.886475580986875 39.41249739984512 34.78009677981215     39.5
AZBH "2021-08-16 02:00:00" 36.97753073482185 37.180218593854406 36.58271423058302 37.645995565414594 35.253823552116856 41.69375381108196     35.5
AZRV "2021-08-16 02:00:00" 26.510608581865288 25.66779529656951 18.46920533264052 22.127860060845457 23.963470412016243 24.81974378604648     17.2
BIGE "2021-08-16 02:00:00" 26.34012318672015 22.52405005543164 24.61110260309071 24.839871478948847 25.23721043699836 30.862460872763016     16.1
CTI4 "2021-08-16 02:00:00" 20.50566615660031 20.71110184380907 19.6500234969992 19.366371221724656 19.871441923636056 18.25610753849996     17.6
ERAU "2021-08-16 02:00:00" 25.00922720869676 20.20874528300985 24.73159475624982 23.15120780049864 24.69475758963305 21.479442371440967     28.9
GMPK "2021-08-16 02:00:00" 41.01799489977412 38.59895098413689 47.119519207748695 45.16341688917255 40.29020603542967 36.28609465803284     31.7
KEND "2021-08-16 02:00:00" 28.97715275100107 28.29423799564317 28.091992315961967 27.34459186785771 27.83718793843267 28.43214282376129     33.5
KITT "2021-08-16 02:00:00" 28.04526695285887 27.66836702697228 28.767087872940696 26.569692121286845 27.96257114218183 26.77837180922512     23.6
LUCK "2021-08-16 02:00:00" 29.81528424893039 29.64859777670078 29.01433254331429 28.31833906075149 28.70470854696701 27.387813349879742     35.7
MING "2021-08-16 02:00:00" 26.394519578915755 22.238098668842586 22.1549516299348 27.660837077387946 25.530532258011483 18.6904933056946     22.1
MORT "2021-08-16 02:00:00" 27.81171441912256 23.49739346383944 23.282882040441336 26.38134908127925 25.33240885373105 21.83322337574249     32.8
MUND "2021-08-16 02:00:00" 24.66462654405173 19.20226345553731 21.12589971887505 21.65594257503476 22.60158551845614 29.56850794616121     25.8
P001 "2021-08-16 02:00:00" 46.84460943827966 46.50637457168449 43.92047592843893 48.16548841778903 48.86045249770735 41.63522544646055     49.8
P003 "2021-08-16 02:00:00" 47.33897928937748 43.53609591455988 53.61894066952037 50.790770532421526 51.02604220315615 46.94928111061723     40.2
P004 "2021-08-16 02:00:00" 25.538337121051946 20.982216895787097 21.017871691836312 24.81160290892676 22.878460025838194 18.91401668637152     27.0
P008 "2021-08-16 02:00:00" 17.19593493022722 18.341544272894524 15.101077027828293 17.080712646166898 16.67239567149283 15.499697783848974     23.6
P010 "2021-08-16 02:00:00" 24.937469542730028 35.95042235102957 25.38931803817316 25.36278366894945 29.89189149002379 28.70697320959408     28.0
P011 "2021-08-16 02:00:00" 21.64516153193233 14.8020214701365 14.27527459898068 16.908284975902074 17.96351224951321 15.78874573190298     21.5
P014 "2021-08-16 02:00:00" 34.34166799257543 33.240693937743714 35.871197073820525 31.848982906878952 36.67861667518967 34.11147581002652     34.8
P015 "2021-08-16 02:00:00" 25.53211528666517 21.596228257939547 30.24827779484984 27.34201550888112 24.066485028796205 22.609954197582347     32.4
P026 "2021-08-16 02:00:00" 20.27504686059965 15.495070033039042 16.493847865979184 18.131905125301355 18.236142216080204 19.102190639354674     31.0
P107 "2021-08-16 02:00:00" 28.14024905850087 22.372752460731583 26.37134999592512 28.24044488731139 23.729280352814577 17.584015750145316     21.1
P623 "2021-08-16 02:00:00" 37.76783319199507 39.38901020061324 39.328566599567765 39.23749887298209 35.73074374730218 38.02414539918509     36.1
SA46 "2021-08-16 02:00:00" 40.34993708506544 37.15164644465573 40.2653283027922 39.51399436268295 41.59289866527845 39.404355539845895     38.6
TNPP "2021-08-16 02:00:00" 59.04901732202377 57.04863908031189 55.24896135519965 58.92259470264102 61.36878645217319 49.36190291974004     53.4
