timestamp,FSS_thr5_ws67,Bias_thr5_ws67,FSS_thr10_ws67,Bias_thr10_ws67,FSS_thr15_ws67,Bias_thr15_ws67
1521,0.025,0.220,0.017,0.228,0.006,0.264
1600,0.281,0.268,0.228,0.256,0.196,0.248
1603,0.374,0.345,0.263,0.276,0.236,0.314
1606,0.211,0.515,0.176,0.418,0.133,0.375
