timestamp,FSS_thr5_ws67,Bias_thr5_ws67,FSS_thr10_ws67,Bias_thr10_ws67,FSS_thr15_ws67,Bias_thr15_ws67
1521,0.326,1.438,0.232,1.139,0.044,1.118
1600,0.302,0.402,0.221,0.423,0.189,0.457
1603,0.325,0.585,0.175,0.740,0.103,0.849
1606,0.190,0.188,0.042,0.072,0.017,0.019
